TicketID,CustomerID,OrderID,TicketDate,IssueCategory,TicketText,Priority,Status,ResolutionTimeHours
TIC000001,CUST000322,ORD001129,2026-05-06 18:52:53,Product Quality Issue,The product arrived damaged.,High,In Progress,
TIC000002,CUST000338,ORD000219,2026-05-11 23:16:18,Wrong Item,The product code does not match my order.,Medium,Open,8
TIC000003,CUST000146,ORD001154,2026-05-09 02:18:23,Payment Issue,Payment gateway timed out.,Medium,Closed,72
TIC000004,CUST000054,ORD000670,2026-05-03 15:12:12,Delivery Issue,My order delivery is delayed.,Low,Closed,4
TIC000005,CUST000170,ORD001168,2026-05-07 22:43:25,Login Issue,Password reset email is not arriving.,Medium,Open,2
TIC000006,CUST000192,ORD000202,2026-05-13 15:35:05,Product Quality Issue,The item quality is poor.,Low,In Progress,8
TIC000007,CUST000493,ORD000562,2026-05-26 09:46:33,Wrong Item,I received the wrong item.,Low,Open,2
TIC000008,CUST000268,ORD000185,2026-05-17 09:58:42,Payment Issue,Payment gateway timed out.,Critical,Closed,72
TIC000009,CUST000349,ORD000937,2026-05-16 16:59:20,Delivery Issue,Carrier has not updated shipment status.,Low,Resolved,4
TIC000010,CUST000154,ORD000220,2026-05-16 12:03:56,Wrong Item,The color and size are different from what I ordered.,Medium,Closed,12
TIC000011,CUST000009,ORD000272,2026-05-25 05:47:44,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Critical,Closed,8
TIC000012,CUST000256,ORD000964,2026-05-06 18:43:10,Product Quality Issue,The item quality is poor.,Medium,Closed,2
TIC000013,CUST000402,ORD000674,2026-05-11 21:39:23,Payment Issue,Payment failed during checkout.,High,Closed,2
TIC000014,CUST000352,ORD000718,2026-05-27 06:17:11,Wrong Item,I received the wrong item.,Medium,In Progress,2
TIC000015,CUST000164,ORD000951,2026-05-02 02:42:50,Delivery Issue,My order delivery is delayed.,Medium,In Progress,12
TIC000016,CUST000114,ORD000763,2026-05-25 00:04:53,Payment Issue,Payment failed during checkout.,Critical,In Progress,
TIC000017,CUST000304,ORD000416,2026-05-20 23:57:28,Refund Issue,Refund is delayed.,Low,Closed,8
TIC000018,CUST000249,ORD000510,2026-05-29 22:17:42,Login Issue,My account is locked after multiple attempts.,High,Open,24
TIC000019,CUST000307,ORD001167,2026-05-13 19:43:29,Delivery Issue,My order delivery is delayed.,Critical,Closed,48
TIC000020,CUST000068,ORD000766,2026-05-10 08:08:22,Refund Issue,Refund is delayed.,Medium,In Progress,
TIC000021,CUST000110,ORD000969,2026-05-15 11:57:28,Delivery Issue,Tracking shows delivered but I did not receive the parcel.,Critical,In Progress,48
TIC000022,CUST000127,ORD000042,2026-05-15 05:39:58,Refund Issue,Refund amount is incorrect.,Low,Closed,2
TIC000023,CUST000452,ORD000172,2026-05-28 15:15:56,Refund Issue,Refund is delayed.,Low,Closed,48
TIC000024,CUST000064,ORD001174,2026-05-25 18:38:55,Product Quality Issue,The stitching came loose after first use.,Critical,Open,48
TIC000025,CUST000038,ORD000498,2026-05-15 07:23:35,Login Issue,Password reset email is not arriving.,Low,Closed,4
TIC000026,CUST000050,ORD001162,2026-05-06 07:09:45,Payment Issue,Payment gateway timed out.,High,Resolved,72
TIC000027,CUST000150,ORD001005,2026-05-12 09:16:00,Refund Issue,Refund is delayed.,Medium,Open,8
TIC000028,CUST000128,ORD000328,2026-05-23 02:55:03,Login Issue,My account is locked after multiple attempts.,High,In Progress,
