OrderItemID,OrderID,ProductID,Quantity,UnitPrice,LineTotal
OI000001_1,ORD000001,P0018,4,150.9,603.6
OI000002_1,ORD000002,P0098,3,133.13,399.39
OI000002_2,ORD000002,P0071,2,34.61,69.22
OI000003_1,ORD000003,P0020,3,173.97,521.91
OI000003_2,ORD000003,P0074,4,97.13,388.52
OI000004_1,ORD000004,P0088,4,149.11,596.44
OI000004_2,ORD000004,P0097,2,156.58,313.16
OI000004_3,ORD000004,P0049,1,188.99,188.99
OI000005_1,ORD000005,P0090,2,155.64,311.28
OI000005_2,ORD000005,P0041,1,31.15,31.15
OI000006_1,ORD000006,P0026,3,40.63,121.89
OI000006_2,ORD000006,P0069,3,106.21,318.63
OI000006_3,ORD000006,P0027,2,133.01,266.02
OI000007_1,ORD000007,P0043,4,68.42,273.68
OI000008_1,ORD000008,P0010,1,32.29,32.29
OI000009_1,ORD000009,P0026,1,40.63,40.63
OI000009_2,ORD000009,P0031,3,41.42,124.26
OI000010_1,ORD000010,P0023,3,149.87,449.61
OI000010_2,ORD000010,P0092,4,133.23,532.92
OI000010_3,ORD000010,P0086,2,31.04,62.08
OI000011_1,ORD000011,P0005,2,112.77,225.54
OI000011_2,ORD000011,P0002,3,29.1,87.3
OI000011_3,ORD000011,P0083,2,25.24,50.48
OI000012_1,ORD000012,P0025,1,111.24,111.24
OI000012_2,ORD000012,P0098,3,133.13,399.39
OI000012_3,ORD000012,P0006,4,138.79,555.16
OI000013_1,ORD000013,P0071,1,34.61,34.61
OI000013_2,ORD000013,P0070,3,69.32,207.96
OI000013_3,ORD000013,P0088,4,149.11,596.44
OI000014_1,ORD000014,P0017,1,61.56,61.56
OI000014_2,ORD000014,P0034,3,118.58,355.74
OI000014_3,ORD000014,P0070,1,69.32,69.32
OI000015_1,ORD000015,P0068,2,99.69,199.38
OI000015_2,ORD000015,P0046,2,92.22,184.44
OI000015_3,ORD000015,P0011,2,19.61,39.22
OI000016_1,ORD000016,P0048,1,51.56,51.56
OI000017_1,ORD000017,P0100,1,54.24,54.24
OI000017_2,ORD000017,P0060,3,72.63,217.89
OI000017_3,ORD000017,P0009,1,47.47,47.47
OI000018_1,ORD000018,P0014,4,12.88,51.52
OI000019_1,ORD000019,P0063,1,168.76,168.76
OI000019_2,ORD000019,P0034,2,118.58,237.16
OI000019_3,ORD000019,P0094,1,188.21,188.21
OI000019_4,ORD000019,P0048,1,51.56,51.56
OI000020_1,ORD000020,P0060,1,72.63,72.63
OI000020_2,ORD000020,P0012,1,117.8,117.8
OI000020_3,ORD000020,P0072,2,24.01,48.02
OI000021_1,ORD000021,P0046,3,92.22,276.66
OI000021_2,ORD000021,P0005,4,112.77,451.08
OI000022_1,ORD000022,P0034,1,118.58,118.58
OI000022_2,ORD000022,P0077,3,90.68,272.04
OI000022_3,ORD000022,P0060,2,72.63,145.26
OI000022_4,ORD000022,P0085,4,78.24,312.96
OI000023_1,ORD000023,P0049,4,188.99,755.96
OI000023_2,ORD000023,P0065,1,179.4,179.4
OI000023_3,ORD000023,P0085,4,78.24,312.96
OI000023_4,ORD000023,P0010,2,32.29,64.58
OI000024_1,ORD000024,P0024,2,21.59,43.18
OI000024_2,ORD000024,P0060,2,72.63,145.26
OI000024_3,ORD000024,P0086,2,31.04,62.08
OI000025_1,ORD000025,P0020,4,173.97,695.88
OI000026_1,ORD000026,P0039,2,142.99,285.98
OI000026_2,ORD000026,P0076,4,113.02,452.08
OI000026_3,ORD000026,P0059,4,37.27,149.08
OI000027_1,ORD000027,P0079,1,139.87,139.87
OI000027_2,ORD000027,P0017,2,61.56,123.12
OI000028_1,ORD000028,P0038,3,17.33,51.99
OI000028_2,ORD000028,P0057,4,113.45,453.8
OI000028_3,ORD000028,P0092,3,133.23,399.69
OI000028_4,ORD000028,P0031,2,41.42,82.84
OI000029_1,ORD000029,P0012,2,117.8,235.6
OI000029_2,ORD000029,P0003,1,60.72,60.72
OI000029_3,ORD000029,P0007,3,71.49,214.47
OI000029_4,ORD000029,P0068,1,99.69,99.69
OI000030_1,ORD000030,P0040,2,27.38,54.76
OI000031_1,ORD000031,P0020,4,173.97,695.88
OI000032_1,ORD000032,P0067,2,7.73,15.46
OI000033_1,ORD000033,P0004,4,176.41,705.64
OI000033_2,ORD000033,P0098,4,133.13,532.52
OI000033_3,ORD000033,P0029,2,152.06,304.12
OI000033_4,ORD000033,P0053,4,129.22,516.88
OI000034_1,ORD000034,P0041,1,31.15,31.15
OI000034_2,ORD000034,P0028,3,104.91,314.73
OI000035_1,ORD000035,P0043,1,68.42,68.42
OI000035_2,ORD000035,P0067,2,7.73,15.46
OI000036_1,ORD000036,P0034,2,118.58,237.16
OI000036_2,ORD000036,P0100,4,54.24,216.96
OI000036_3,ORD000036,P0053,4,129.22,516.88
OI000036_4,ORD000036,P0084,1,105.27,105.27
OI000037_1,ORD000037,P0068,4,99.69,398.76
OI000038_1,ORD000038,P0027,2,133.01,266.02
OI000038_2,ORD000038,P0068,4,99.69,398.76
OI000038_3,ORD000038,P0057,4,113.45,453.8
OI000038_4,ORD000038,P0060,4,72.63,290.52
OI000039_1,ORD000039,P0095,1,41.13,41.13
OI000039_2,ORD000039,P0091,3,38.31,114.93
OI000039_3,ORD000039,P0076,1,113.02,113.02
OI000040_1,ORD000040,P0093,3,30.0,90.0
OI000040_2,ORD000040,P0065,2,179.4,358.8
OI000040_3,ORD000040,P0034,4,118.58,474.32
OI000041_1,ORD000041,P0086,1,31.04,31.04
OI000041_2,ORD000041,P0033,1,81.28,81.28
OI000042_1,ORD000042,P0049,3,188.99,566.97
OI000042_2,ORD000042,P0043,4,68.42,273.68
OI000042_3,ORD000042,P0050,1,79.22,79.22
OI000043_1,ORD000043,P0006,2,138.79,277.58
OI000044_1,ORD000044,P0079,1,139.87,139.87
OI000045_1,ORD000045,P0048,1,51.56,51.56
OI000045_2,ORD000045,P0074,1,97.13,97.13
OI000045_3,ORD000045,P0067,4,7.73,30.92
OI000046_1,ORD000046,P0095,1,41.13,41.13
OI000046_2,ORD000046,P0082,3,44.76,134.28
OI000046_3,ORD000046,P0055,4,61.33,245.32
OI000046_4,ORD000046,P0043,2,68.42,136.84
OI000047_1,ORD000047,P0024,4,21.59,86.36
OI000048_1,ORD000048,P0038,2,17.33,34.66
OI000049_1,ORD000049,P0063,3,168.76,506.28
OI000049_2,ORD000049,P0078,1,169.69,169.69
OI000050_1,ORD000050,P0069,4,106.21,424.84
OI000050_2,ORD000050,P0063,1,168.76,168.76
OI000050_3,ORD000050,P0096,2,69.19,138.38
OI000051_1,ORD000051,P0089,3,32.38,97.14
OI000051_2,ORD000051,P0027,4,133.01,532.04
OI000051_3,ORD000051,P0049,1,188.99,188.99
OI000051_4,ORD000051,P0030,1,34.08,34.08
OI000052_1,ORD000052,P0081,1,59.0,59.0
OI000053_1,ORD000053,P0071,3,34.61,103.83
OI000054_1,ORD000054,P0069,2,106.21,212.42
OI000054_2,ORD000054,P0047,1,191.09,191.09
OI000054_3,ORD000054,P0004,1,176.41,176.41
OI000055_1,ORD000055,P0057,3,113.45,340.35
OI000055_2,ORD000055,P0026,4,40.63,162.52
OI000055_3,ORD000055,P0036,2,21.34,42.68
OI000056_1,ORD000056,P0039,1,142.99,142.99
OI000056_2,ORD000056,P0084,4,105.27,421.08
OI000056_3,ORD000056,P0083,3,25.24,75.72
OI000056_4,ORD000056,P0022,3,70.65,211.95
OI000057_1,ORD000057,P0025,4,111.24,444.96
OI000057_2,ORD000057,P0056,2,66.57,133.14
OI000057_3,ORD000057,P0090,4,155.64,622.56
OI000057_4,ORD000057,P0020,4,173.97,695.88
OI000058_1,ORD000058,P0008,2,36.13,72.26
OI000058_2,ORD000058,P0050,4,79.22,316.88
OI000059_1,ORD000059,P0045,1,57.8,57.8
OI000060_1,ORD000060,P0036,4,21.34,85.36
OI000060_2,ORD000060,P0062,1,112.08,112.08
OI000060_3,ORD000060,P0014,4,12.88,51.52
OI000061_1,ORD000061,P0069,4,106.21,424.84
OI000061_2,ORD000061,P0086,1,31.04,31.04
OI000061_3,ORD000061,P0020,1,173.97,173.97
OI000061_4,ORD000061,P0072,4,24.01,96.04
OI000062_1,ORD000062,P0045,2,57.8,115.6
OI000063_1,ORD000063,P0017,1,61.56,61.56
OI000063_2,ORD000063,P0035,3,97.37,292.11
OI000064_1,ORD000064,P0064,4,153.17,612.68
OI000064_2,ORD000064,P0089,3,32.38,97.14
OI000064_3,ORD000064,P0031,1,41.42,41.42
OI000065_1,ORD000065,P0061,4,22.39,89.56
OI000065_2,ORD000065,P0062,1,112.08,112.08
OI000065_3,ORD000065,P0057,1,113.45,113.45
OI000066_1,ORD000066,P0061,3,22.39,67.17
OI000066_2,ORD000066,P0059,1,37.27,37.27
OI000066_3,ORD000066,P0094,1,188.21,188.21
OI000066_4,ORD000066,P0018,1,150.9,150.9
OI000067_1,ORD000067,P0077,2,90.68,181.36
OI000068_1,ORD000068,P0045,1,57.8,57.8
OI000069_1,ORD000069,P0015,4,112.2,448.8
OI000070_1,ORD000070,P0033,4,81.28,325.12
OI000071_1,ORD000071,P0046,1,92.22,92.22
OI000071_2,ORD000071,P0086,2,31.04,62.08
OI000071_3,ORD000071,P0077,4,90.68,362.72
OI000071_4,ORD000071,P0085,2,78.24,156.48
OI000072_1,ORD000072,P0006,2,138.79,277.58
OI000072_2,ORD000072,P0065,1,179.4,179.4
OI000072_3,ORD000072,P0070,2,69.32,138.64
OI000072_4,ORD000072,P0054,3,94.23,282.69
OI000073_1,ORD000073,P0090,1,155.64,155.64
OI000073_2,ORD000073,P0051,4,111.2,444.8
OI000073_3,ORD000073,P0053,2,129.22,258.44
OI000074_1,ORD000074,P0020,2,173.97,347.94
OI000074_2,ORD000074,P0067,3,7.73,23.19
OI000074_3,ORD000074,P0059,2,37.27,74.54
OI000074_4,ORD000074,P0072,1,24.01,24.01
OI000075_1,ORD000075,P0074,2,97.13,194.26
OI000075_2,ORD000075,P0064,3,153.17,459.51
OI000075_3,ORD000075,P0063,1,168.76,168.76
OI000076_1,ORD000076,P0028,3,104.91,314.73
OI000076_2,ORD000076,P0031,2,41.42,82.84
OI000077_1,ORD000077,P0077,3,90.68,272.04
OI000078_1,ORD000078,P0053,1,129.22,129.22
OI000078_2,ORD000078,P0064,1,153.17,153.17
OI000078_3,ORD000078,P0065,3,179.4,538.2
OI000078_4,ORD000078,P0094,4,188.21,752.84
OI000079_1,ORD000079,P0039,4,142.99,571.96
OI000080_1,ORD000080,P0006,2,138.79,277.58
OI000080_2,ORD000080,P0007,3,71.49,214.47
OI000080_3,ORD000080,P0099,1,138.6,138.6
OI000080_4,ORD000080,P0046,4,92.22,368.88
OI000081_1,ORD000081,P0084,4,105.27,421.08
OI000081_2,ORD000081,P0049,3,188.99,566.97
OI000081_3,ORD000081,P0055,3,61.33,183.99
OI000082_1,ORD000082,P0038,4,17.33,69.32
OI000083_1,ORD000083,P0023,2,149.87,299.74
OI000084_1,ORD000084,P0091,4,38.31,153.24
OI000085_1,ORD000085,P0057,3,113.45,340.35
OI000086_1,ORD000086,P0001,3,144.87,434.61
OI000086_2,ORD000086,P0051,4,111.2,444.8
OI000087_1,ORD000087,P0011,2,19.61,39.22
OI000087_2,ORD000087,P0035,1,97.37,97.37
OI000087_3,ORD000087,P0051,2,111.2,222.4
OI000087_4,ORD000087,P0023,2,149.87,299.74
OI000088_1,ORD000088,P0018,1,150.9,150.9
OI000088_2,ORD000088,P0085,1,78.24,78.24
OI000089_1,ORD000089,P0048,1,51.56,51.56
OI000090_1,ORD000090,P0028,4,104.91,419.64
OI000091_1,ORD000091,P0017,3,61.56,184.68
OI000091_2,ORD000091,P0074,1,97.13,97.13
OI000092_1,ORD000092,P0046,1,92.22,92.22
OI000093_1,ORD000093,P0061,1,22.39,22.39
OI000093_2,ORD000093,P0099,2,138.6,277.2
OI000094_1,ORD000094,P0099,3,138.6,415.8
