ReturnID,OrderID,ProductID,ReturnDate,ReturnQty,ReturnReason,RefundAmount
RET000001,ORD001075,P0024,2026-05-11,1,Late delivery,24.11
RET000002,ORD001000,P0067,2026-05-21,1,Late delivery,14.21
RET000003,ORD000537,P0043,2026-05-11,3,Quality issue,151.47
RET000004,ORD000858,P0022,2026-05-02,1,Wrong item received,35.65
RET000005,ORD000698,P0088,2026-05-13,1,Late delivery,91.93
RET000006,ORD000251,P0040,2026-05-06,1,Size issue,75.61
RET000007,ORD001187,P0086,2026-05-06,2,Wrong item received,101.72
RET000008,ORD000196,P0040,2026-05-10,1,Wrong item received,25.42
RET000009,ORD000130,P0045,2026-05-30,2,Damaged product,100.64
RET000010,ORD000149,P0082,2026-05-14,1,Refund requested,113.75
RET000011,ORD001121,P0048,2026-05-25,2,Size issue,104.88
RET000012,ORD000667,P0004,2026-05-06,3,Quality issue,639.98
RET000013,ORD000208,P0022,2026-05-10,1,Size issue,54.31
RET000014,ORD000557,P0004,2026-05-06,3,Size issue,412.93
RET000015,ORD000008,P0010,2026-05-29,1,Refund requested,28.73
RET000016,ORD000789,P0094,2026-05-19,1,Wrong item received,163.03
RET000017,ORD000811,P0017,2026-05-20,3,Size issue,131.44
RET000018,ORD000583,P0001,2026-05-25,1,Size issue,118.11
RET000019,ORD000122,P0045,2026-05-09,4,Quality issue,133.74
RET000020,ORD000222,P0100,2026-05-17,1,Damaged product,38.07
RET000021,ORD001034,P0040,2026-05-27,1,Wrong item received,25.38
RET000022,ORD000939,P0060,2026-05-04,2,Damaged product,255.87
RET000023,ORD000554,P0068,2026-05-12,1,Refund requested,55.86
RET000024,ORD000210,P0019,2026-05-14,1,Wrong item received,59.77
RET000025,ORD000396,P0044,2026-05-20,2,Wrong item received,340.25
RET000026,ORD000041,P0086,2026-05-30,1,Damaged product,19.54
RET000027,ORD000762,P0045,2026-05-01,1,Wrong item received,87.82
RET000028,ORD000534,P0059,2026-05-19,1,Late delivery,41.54
RET000029,ORD000078,P0065,2026-05-10,1,Refund requested,300.45
RET000030,ORD000598,P0049,2026-05-17,1,Size issue,169.34
RET000031,ORD000120,P0028,2026-05-03,1,Wrong item received,81.98
RET000032,ORD000121,P0091,2026-05-26,2,Refund requested,58.23
RET000033,ORD000857,P0093,2026-05-01,1,Refund requested,25.28
RET000034,ORD000770,P0073,2026-05-17,2,Damaged product,290.86
RET000035,ORD000565,P0064,2026-05-09,3,Wrong item received,506.78
RET000036,ORD000781,P0039,2026-05-09,2,Customer changed mind,414.67
RET000037,ORD000317,P0008,2026-05-05,1,Size issue,93.98
