ReviewID,OrderID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,RecommendationFlag
REV000001,ORD000583,CUST000110,P0047,2026-05-09,2,Poor quality and the item arrived damaged.,False
REV000002,ORD000749,CUST000457,P0084,2026-05-04,5,Perfect fit and very useful for training.,True
REV000003,ORD000656,CUST000370,P0085,2026-05-13,5,"Great product, good packaging, and smooth ordering experience.",True
REV000004,ORD000668,CUST000131,P0037,2026-05-29,3,"Good product, but the size guide was confusing.",True
REV000005,ORD000847,CUST000094,P0023,2026-05-26,2,Payment failed twice and the order process was frustrating.,False
REV000006,ORD000886,CUST000124,P0006,2026-05-21,3,"Good product, but the size guide was confusing.",True
REV000007,ORD000993,CUST000436,P0052,2026-05-02,5,The product quality is better than expected.,True
REV000008,ORD000567,CUST000372,P0034,2026-05-02,3,"Good product, but the size guide was confusing.",True
REV000009,ORD000739,CUST000277,P0009,2026-05-01,4,Perfect fit and very useful for training.,True
REV000010,ORD000884,CUST000313,P0088,2026-05-13,5,Very comfortable and worth the price. I will buy again.,True
REV000011,ORD000275,CUST000359,P0052,2026-05-14,4,Perfect fit and very useful for training.,True
REV000012,ORD000827,CUST000017,P0098,2026-05-22,3,"Good product, but the size guide was confusing.",True
REV000013,ORD001003,CUST000039,P0073,2026-05-02,4,Very comfortable and worth the price. I will buy again.,True
REV000014,ORD001079,CUST000297,P0075,2026-05-04,2,The product is not worth the price.,False
REV000015,ORD001136,CUST000317,P0029,2026-05-10,4,Very comfortable and worth the price. I will buy again.,True
REV000016,ORD000266,CUST000123,P0068,2026-05-07,4,"Great product, good packaging, and smooth ordering experience.",True
REV000017,ORD000049,CUST000315,P0046,2026-05-21,3,"The product is fine, but packaging can be improved.",True
REV000018,ORD000484,CUST000246,P0006,2026-05-27,3,"The product is fine, but packaging can be improved.",False
REV000019,ORD001079,CUST000297,P0014,2026-05-10,4,Perfect fit and very useful for training.,True
REV000020,ORD000443,CUST000039,P0056,2026-05-23,1,Poor quality and the item arrived damaged.,False
REV000021,ORD000862,CUST000201,P0077,2026-05-26,3,"Average quality, not bad but not excellent.",True
REV000022,ORD000748,CUST000404,P0036,2026-05-18,5,The product quality is better than expected.,True
REV000023,ORD000787,CUST000456,P0071,2026-05-05,5,The product quality is better than expected.,True
REV000024,ORD000682,CUST000325,P0049,2026-05-18,3,"Product is okay, but delivery took a little longer.",False
REV000025,ORD000871,CUST000218,P0081,2026-05-30,4,Perfect fit and very useful for training.,True
REV000026,ORD001072,CUST000209,P0056,2026-05-27,1,The product is not worth the price.,False
REV000027,ORD000013,CUST000313,P0018,2026-05-28,5,"Great product, good packaging, and smooth ordering experience.",True
REV000028,ORD000672,CUST000178,P0028,2026-05-01,4,Excellent quality and fast delivery. I highly recommend this product.,True
REV000029,ORD000387,CUST000022,P0084,2026-05-14,3,"Average quality, not bad but not excellent.",True
REV000030,ORD001125,CUST000023,P0009,2026-05-13,3,It works as expected.,False
REV000031,ORD000749,CUST000457,P0038,2026-05-21,4,Excellent quality and fast delivery. I highly recommend this product.,True
REV000032,ORD000193,CUST000479,P0052,2026-05-02,3,"Good product, but the size guide was confusing.",False
REV000033,ORD000297,CUST000144,P0057,2026-05-07,4,The product quality is better than expected.,True
REV000034,ORD001111,CUST000348,P0098,2026-05-17,3,"Good product, but the size guide was confusing.",True
REV000035,ORD000514,CUST000174,P0015,2026-05-04,1,Delivery was very late and customer support was slow.,False
REV000036,ORD001149,CUST000139,P0050,2026-05-13,2,The product is not worth the price.,False
REV000037,ORD000743,CUST000465,P0029,2026-05-16,4,Very comfortable and worth the price. I will buy again.,True
REV000038,ORD000376,CUST000054,P0051,2026-05-17,5,Excellent quality and fast delivery. I highly recommend this product.,True
REV000039,ORD000094,CUST000261,P0064,2026-05-18,1,Payment failed twice and the order process was frustrating.,False
REV000040,ORD000100,CUST000144,P0016,2026-05-15,5,The product quality is better than expected.,True
REV000041,ORD000272,CUST000009,P0057,2026-05-28,4,"Great product, good packaging, and smooth ordering experience.",True
REV000042,ORD000455,CUST000215,P0048,2026-05-22,4,"Great product, good packaging, and smooth ordering experience.",True
REV000043,ORD000976,CUST000492,P0051,2026-05-23,5,"Great product, good packaging, and smooth ordering experience.",True
REV000044,ORD000142,CUST000472,P0024,2026-05-21,1,Poor quality and the item arrived damaged.,False
REV000045,ORD000007,CUST000108,P0066,2026-05-11,5,Excellent quality and fast delivery. I highly recommend this product.,True
REV000046,ORD000385,CUST000401,P0058,2026-05-18,3,"The product is fine, but packaging can be improved.",False
REV000047,ORD000828,CUST000411,P0011,2026-05-24,2,Wrong item received and return process was difficult.,False
REV000048,ORD000912,CUST000347,P0073,2026-05-27,4,Very comfortable and worth the price. I will buy again.,True
REV000049,ORD000044,CUST000380,P0079,2026-05-12,5,"Great product, good packaging, and smooth ordering experience.",True
REV000050,ORD000101,CUST000178,P0041,2026-05-02,1,Poor quality and the item arrived damaged.,False
REV000051,ORD001145,CUST000442,P0024,2026-05-06,2,Poor quality and the item arrived damaged.,False
REV000052,ORD000409,CUST000031,P0004,2026-05-06,4,The product quality is better than expected.,True
REV000053,ORD000322,CUST000336,P0095,2026-05-04,4,"Great product, good packaging, and smooth ordering experience.",True
REV000054,ORD000370,CUST000291,P0059,2026-05-13,4,"Great product, good packaging, and smooth ordering experience.",True
REV000055,ORD000136,CUST000393,P0090,2026-05-26,5,The product quality is better than expected.,True
REV000056,ORD000821,CUST000029,P0072,2026-05-10,4,The product quality is better than expected.,True
REV000057,ORD000364,CUST000302,P0052,2026-05-07,1,Payment failed twice and the order process was frustrating.,False
REV000058,ORD000764,CUST000252,P0091,2026-05-09,1,The product is not worth the price.,False
REV000059,ORD000069,CUST000013,P0028,2026-05-18,4,The product quality is better than expected.,True
REV000060,ORD000085,CUST000115,P0085,2026-05-24,2,Delivery was very late and customer support was slow.,False
REV000061,ORD000652,CUST000326,P0047,2026-05-04,4,Perfect fit and very useful for training.,True
REV000062,ORD000054,CUST000070,P0012,2026-05-05,4,The product quality is better than expected.,True
REV000063,ORD000752,CUST000337,P0087,2026-05-19,4,The product quality is better than expected.,True
REV000064,ORD000484,CUST000246,P0098,2026-05-27,1,Payment failed twice and the order process was frustrating.,False
REV000065,ORD000116,CUST000225,P0094,2026-05-16,5,The product quality is better than expected.,True
REV000066,ORD000910,CUST000014,P0049,2026-05-17,2,The product is not worth the price.,False
REV000067,ORD000817,CUST000293,P0089,2026-05-14,4,Very comfortable and worth the price. I will buy again.,True
REV000068,ORD001162,CUST000050,P0048,2026-05-18,5,Very comfortable and worth the price. I will buy again.,True
REV000069,ORD000953,CUST000454,P0004,2026-05-21,5,Perfect fit and very useful for training.,True
REV000070,ORD000877,CUST000332,P0025,2026-05-16,5,"Great product, good packaging, and smooth ordering experience.",True
REV000071,ORD000245,CUST000353,P0085,2026-05-05,3,"The product is fine, but packaging can be improved.",True
REV000072,ORD000280,CUST000432,P0072,2026-05-13,1,Payment failed twice and the order process was frustrating.,False
REV000073,ORD000465,CUST000120,P0003,2026-05-19,2,The product is not worth the price.,False
REV000074,ORD000533,CUST000120,P0060,2026-05-09,2,Delivery was very late and customer support was slow.,False
REV000075,ORD000761,CUST000443,P0049,2026-05-19,1,Wrong item received and return process was difficult.,False
REV000076,ORD000198,CUST000448,P0026,2026-05-18,5,Perfect fit and very useful for training.,True
REV000077,ORD000118,CUST000191,P0032,2026-05-23,1,Delivery was very late and customer support was slow.,False
REV000078,ORD000953,CUST000454,P0053,2026-05-30,4,Excellent quality and fast delivery. I highly recommend this product.,True
REV000079,ORD000607,CUST000430,P0006,2026-05-22,5,Very comfortable and worth the price. I will buy again.,True
REV000080,ORD000272,CUST000009,P0099,2026-05-15,2,Delivery was very late and customer support was slow.,False
REV000081,ORD000821,CUST000029,P0090,2026-05-06,1,Payment failed twice and the order process was frustrating.,False
REV000082,ORD000922,CUST000348,P0080,2026-05-15,1,Poor quality and the item arrived damaged.,False
REV000083,ORD000417,CUST000403,P0055,2026-05-25,3,"Average quality, not bad but not excellent.",False
REV000084,ORD000958,CUST000420,P0094,2026-05-16,3,"The product is fine, but packaging can be improved.",False
REV000085,ORD000301,CUST000111,P0050,2026-05-27,5,Excellent quality and fast delivery. I highly recommend this product.,True
REV000086,ORD001167,CUST000307,P0080,2026-05-08,4,Excellent quality and fast delivery. I highly recommend this product.,True
REV000087,ORD000232,CUST000143,P0082,2026-05-13,5,The product quality is better than expected.,True
REV000088,ORD000731,CUST000219,P0034,2026-05-17,4,Very comfortable and worth the price. I will buy again.,True
