OrderID,CustomerID,OrderDate,OrderStatus,SalesChannel,GrossAmount,DiscountAmount,NetAmount,Currency
ORD000001,CUST000093,2026-05-15 01:20:15,Returned,Mobile App,603.6,30.18,573.42,EUR
ORD000002,CUST000315,2026-05-17 04:30:08,Completed,Mobile App,468.61,70.29,398.32,EUR
ORD000003,CUST000360,2026-05-12 04:53:37,Completed,Website,910.43,136.56,773.87,EUR
ORD000004,CUST000314,2026-05-06 00:40:11,Shipped,Mobile App,1098.59,109.86,988.73,EUR
ORD000005,CUST000073,2026-05-11 08:58:08,Completed,Website,342.43,17.12,325.31,EUR
ORD000006,CUST000058,2026-05-03 10:11:45,Cancelled,Mobile App,706.54,70.65,635.89,EUR
ORD000007,CUST000108,2026-05-20 20:24:15,Completed,Mobile App,273.68,0.0,273.68,EUR
ORD000008,CUST000407,2026-05-06 21:18:40,Cancelled,Mobile App,32.29,0.0,32.29,EUR
ORD000009,CUST000383,2026-05-07 14:11:51,Completed,Website,164.89,24.73,140.16,EUR
ORD000010,CUST000150,2026-05-06 06:33:12,Cancelled,Mobile App,1044.61,156.69,887.92,EUR
ORD000011,CUST000067,2026-05-11 14:45:04,Completed,Website,363.32,0.0,363.32,EUR
ORD000012,CUST000187,2026-05-24 09:06:10,Completed,Website,1065.79,106.58,959.21,EUR
ORD000013,CUST000313,2026-05-22 03:11:36,Returned,Website,839.01,125.85,713.16,EUR
ORD000014,CUST000398,2026-05-08 17:33:53,Completed,Website,486.62,72.99,413.63,EUR
ORD000015,CUST000178,2026-05-08 01:14:49,Completed,Website,423.04,0.0,423.04,EUR
ORD000016,CUST000004,2026-05-22 13:23:13,Completed,Mobile App,51.56,7.73,43.83,EUR
ORD000017,CUST000121,2026-05-18 16:06:03,Completed,Mobile App,319.6,15.98,303.62,EUR
ORD000018,CUST000117,2026-05-16 13:19:21,Completed,Mobile App,51.52,2.58,48.94,EUR
ORD000019,CUST000302,2026-05-06 13:49:07,Completed,Mobile App,645.69,96.85,548.84,EUR
ORD000020,CUST000368,2026-05-19 06:49:36,Cancelled,Website,238.45,0.0,238.45,EUR
ORD000021,CUST000217,2026-05-12 13:00:43,Cancelled,Website,727.74,36.39,691.35,EUR
ORD000022,CUST000263,2026-05-12 11:59:05,Cancelled,Mobile App,848.84,0.0,848.84,EUR
ORD000023,CUST000101,2026-05-24 03:20:40,Completed,Mobile App,1312.9,0.0,1312.9,EUR
ORD000024,CUST000470,2026-05-09 10:14:52,Returned,Mobile App,250.52,37.58,212.94,EUR
ORD000025,CUST000494,2026-05-20 07:13:18,Shipped,Mobile App,695.88,104.38,591.5,EUR
ORD000026,CUST000426,2026-05-02 20:22:54,Cancelled,Mobile App,887.14,133.07,754.07,EUR
ORD000027,CUST000311,2026-05-06 04:29:51,Returned,Website,262.99,26.3,236.69,EUR
ORD000028,CUST000007,2026-05-08 07:56:58,Completed,Mobile App,988.32,0.0,988.32,EUR
ORD000029,CUST000319,2026-05-18 05:04:02,Completed,Mobile App,610.48,0.0,610.48,EUR
ORD000030,CUST000050,2026-05-22 00:40:24,Completed,Mobile App,54.76,2.74,52.02,EUR
ORD000031,CUST000274,2026-05-16 00:27:19,Shipped,Website,695.88,0.0,695.88,EUR
ORD000032,CUST000422,2026-05-14 05:40:40,Cancelled,Mobile App,15.46,0.77,14.69,EUR
ORD000033,CUST000042,2026-05-22 13:53:36,Completed,Mobile App,2059.16,308.87,1750.29,EUR
ORD000034,CUST000434,2026-05-21 03:32:48,Completed,Mobile App,345.88,51.88,294.0,EUR
ORD000035,CUST000147,2026-05-12 22:48:49,Completed,Mobile App,83.88,8.39,75.49,EUR
ORD000036,CUST000370,2026-05-16 17:13:47,Completed,Website,1076.27,53.81,1022.46,EUR
ORD000037,CUST000446,2026-05-23 02:51:31,Completed,Website,398.76,0.0,398.76,EUR
ORD000038,CUST000335,2026-05-22 18:20:29,Returned,Website,1409.1,0.0,1409.1,EUR
ORD000039,CUST000480,2026-05-03 00:40:44,Completed,Mobile App,269.08,0.0,269.08,EUR
ORD000040,CUST000057,2026-05-13 23:34:18,Returned,Website,923.12,0.0,923.12,EUR
ORD000041,CUST000054,2026-05-22 00:48:39,Completed,Website,112.32,16.85,95.47,EUR
